aX,aY,aZ,gX,gY,gZ
0.173,0.923,0.020,3.290,-5.040,20.510
0.172,0.929,0.018,3.780,-5.180,15.610
0.170,0.932,0.015,4.340,-5.460,10.640
0.171,0.932,0.011,5.110,-5.670,4.410
0.169,0.929,0.005,5.740,-5.670,-0.140
0.163,0.927,0.002,6.300,-5.670,-4.410
0.151,0.928,0.001,7.000,-6.020,-8.820
0.147,0.937,0.002,7.840,-6.160,-12.670
0.141,0.946,-0.005,8.540,-6.300,-17.010
0.134,0.964,-0.008,8.820,-6.440,-19.460
0.125,0.977,-0.010,8.400,-6.930,-21.350
0.112,0.995,-0.011,8.050,-7.070,-22.680
0.097,1.001,-0.021,7.350,-7.560,-24.430
0.086,0.998,-0.027,6.510,-8.120,-25.410
0.082,1.006,-0.021,5.810,-8.750,-26.320
0.078,1.019,-0.022,5.250,-9.100,-26.670
0.061,1.025,-0.025,4.830,-9.100,-26.950
0.047,1.031,-0.030,4.270,-9.170,-26.950
0.039,1.033,-0.035,3.710,-8.960,-26.880
0.036,1.035,-0.033,3.080,-8.890,-26.810
0.038,1.050,-0.028,2.450,-8.750,-25.130
0.035,1.098,-0.039,1.680,-8.680,-22.330
0.039,1.135,-0.050,1.050,-7.350,-18.620
0.015,1.111,-0.055,0.140,-5.880,-15.050
-0.003,1.048,-0.053,-1.330,-4.970,-13.230
0.006,1.000,-0.042,-2.590,-4.270,-13.370
0.016,1.004,-0.023,-2.380,-3.430,-13.580
-0.000,1.013,-0.020,-1.610,-2.660,-13.370
-0.019,1.025,-0.020,-0.980,-2.310,-12.670
-0.021,1.030,-0.024,-0.980,-1.820,-12.040
-0.016,1.036,-0.023,-1.680,-1.610,-11.270
-0.012,1.034,-0.023,-2.170,-1.470,-10.010
-0.011,1.032,-0.019,-1.890,-1.190,-9.030
-0.017,1.025,-0.024,-1.260,-0.700,-8.330
-0.018,1.015,-0.019,-0.630,-0.210,-7.420
-0.019,1.004,-0.016,-0.210,0.210,-7.000
-0.019,0.994,-0.019,0.000,0.490,-7.140
-0.012,1.015,-0.019,0.140,0.770,-7.210
-0.023,1.040,-0.019,0.280,0.700,-6.650
-0.635,0.851,-0.045,7.070,-10.080,-179.060
-0.686,0.901,-0.043,6.370,-10.640,-166.250
-0.739,0.950,-0.043,5.180,-11.410,-154.140
-0.817,0.987,-0.063,3.430,-11.830,-140.490
-0.874,1.002,-0.080,0.560,-11.760,-121.800
-0.926,0.981,-0.091,-1.540,-11.270,-108.220
-0.974,0.946,-0.087,-3.010,-10.080,-96.110
-0.988,0.899,-0.085,-3.920,-9.100,-82.530
-0.994,0.851,-0.072,-4.130,-7.490,-73.850
-0.997,0.825,-0.070,-3.850,-5.390,-65.730
-0.997,0.812,-0.070,-3.640,-3.850,-54.950
-1.003,0.796,-0.069,-3.430,-1.890,-46.830
-1.009,0.796,-0.070,-3.360,0.000,-38.780
-1.015,0.791,-0.062,-3.080,1.050,-30.100
-1.010,0.794,-0.056,-2.450,1.890,-17.850
