aX,aY,aZ,gX,gY,gZ
0.135,0.786,0.451,5.810,-10.570,-40.320
0.149,0.841,0.409,16.450,-12.180,-39.970
0.165,0.960,0.361,26.950,-11.340,-36.470
0.180,1.028,0.321,30.450,-9.100,-30.800
0.202,1.096,0.323,28.770,-5.250,-23.730
0.207,1.108,0.305,23.030,-2.100,-17.220
0.205,1.104,0.303,16.870,0.770,-11.620
0.188,1.027,0.285,9.940,3.430,-7.980
0.169,0.971,0.273,7.700,7.140,-7.280
0.163,0.922,0.348,5.320,8.190,-7.980
0.134,0.856,0.409,4.340,6.230,-10.430
0.124,0.816,0.421,6.160,5.320,-13.720
0.123,0.795,0.466,5.950,2.730,-18.340
0.121,0.804,0.451,5.040,1.330,-21.910
0.105,0.801,0.428,5.250,0.910,-26.180
0.114,0.867,0.465,6.580,-0.490,-27.790
0.130,0.934,0.488,6.580,-2.800,-27.020
0.135,0.981,0.462,6.790,-5.040,-24.710
0.139,1.020,0.397,8.610,-4.620,-21.280
0.148,1.046,0.374,9.240,-2.800,-18.060
0.146,1.041,0.392,7.560,-2.520,-14.490
0.139,1.001,0.375,7.980,-2.590,-12.530
0.142,0.972,0.316,14.770,-1.120,-10.500
0.139,0.963,0.289,20.020,2.240,-9.800
0.280,2.018,0.307,3.360,-10.010,100.660
0.364,2.536,0.310,29.260,-12.040,173.530
0.440,3.012,0.328,54.390,-14.910,247.730
0.479,3.405,0.418,87.570,-20.930,333.060
0.344,3.466,0.651,119.420,-38.220,414.750
0.086,3.291,0.848,144.340,-54.600,485.520
-0.155,3.048,1.019,150.290,-71.820,562.590
-0.377,2.727,1.145,138.950,-86.170,602.140
-0.757,2.249,1.356,114.380,-107.520,620.900
-0.852,1.948,1.520,47.530,-128.520,641.760
-0.842,1.644,1.444,8.120,-148.120,654.290
-0.908,1.187,1.484,-11.550,-187.810,652.050
-0.941,0.764,1.601,-23.100,-229.250,632.940
-0.930,0.547,1.292,-41.090,-266.140,607.530
-0.849,0.388,0.910,-30.380,-291.340,587.720
-0.778,0.191,0.346,-16.870,-301.700,564.690
-0.711,-0.132,-0.106,-16.450,-300.160,509.950
-0.644,-0.800,-0.591,2.940,-285.740,446.320
-0.563,-1.327,-1.083,18.620,-250.460,372.190
-0.327,-1.552,-1.376,41.790,-210.140,305.620
-0.026,-1.232,-1.511,56.210,-163.520,252.070
0.158,-1.164,-1.559,51.170,-111.510,215.880
0.201,-1.459,-1.438,30.660,-46.270,164.710
0.314,-1.575,-1.334,11.410,-1.120,100.380
0.424,-1.378,-1.198,8.470,37.100,59.990
0.525,-1.116,-0.961,15.680,65.450,26.320
0.626,-0.726,-0.557,16.520,86.310,3.850
0.756,-0.401,-0.281,13.230,92.050,-10.570
0.817,-0.295,0.032,-13.790,87.220,-29.120
0.840,-0.332,0.222,-13.440,78.540,-45.710
0.856,-0.360,0.346,-27.790,63.840,-62.160
0.879,-0.356,0.356,-35.490,54.810,-77.000
0.888,-0.342,0.376,-43.820,46.200,-94.990
0.877,-0.401,0.329,-53.900,40.110,-111.090
0.850,-0.493,0.270,-63.280,35.770,-130.760
0.829,-0.508,0.173,-72.030,36.820,-151.410
0.789,-0.508,0.099,-88.690,40.110,-182.350
0.754,-0.475,0.013,-102.550,45.010,-206.640
0.716,-0.419,-0.129,-109.900,54.740,-230.160
0.662,-0.300,-0.305,-101.780,64.610,-267.190
0.657,0.031,-0.554,-52.220,82.460,-261.660
0.652,0.216,-0.619,-20.720,99.960,-270.130
0.612,0.254,-0.508,-12.740,116.130,-282.380
0.624,0.309,-0.600,-3.710,132.370,-291.900
0.606,0.384,-0.530,4.550,148.820,-303.030
0.545,0.472,-0.436,-1.750,166.460,-307.860
0.544,0.624,-0.321,-15.120,192.360,-306.880
0.450,0.621,0.008,-45.780,204.680,-309.400
0.390,0.492,0.245,-90.580,212.870,-317.450
0.333,0.506,0.363,-128.660,219.240,-321.160
0.290,0.571,0.535,-144.620,220.220,-321.650
0.229,0.644,0.731,-153.860,210.420,-318.500
